depnum,dep,Code,name,AbsExp,Exprimes,PourcentageExpIns,PourcentageExpVot,Code1,Candidat1,Voix1,Pourcentage1,Code2,Candidat2,Voix2,Pourcentage2,Code3,Candidat3,Voix3,Pourcentage3,RNExp,LREMExp,LRExp,EEVExp,FIExp,PSExp
16,Charente,16001,Abzac,45.0,164.0,49.8,90.6,5,Rassemblement National,63.0,38.4,11,Renaissance,30.0,18.3,27,Parti socialiste - Place Publique,27.0,16.5,3.7,18.3,6.7,1.2,0.6,16.5,
16,Charente,16003,Agris,41.5,326.0,55.6,95.0,5,Rassemblement National,143.0,43.9,11,Renaissance,37.0,11.3,27,Parti socialiste - Place Publique,34.0,10.4,4.6,11.3,4.3,3.7,4.3,10.4,
16,Charente,16005,Aigre,44.0,555.0,52.0,93.0,5,Rassemblement National,221.0,39.8,11,Renaissance,79.0,14.2,27,Parti socialiste - Place Publique,68.0,12.3,5.2,14.2,9.2,2.9,3.2,12.3,
16,Charente,16007,Alloue,45.6,186.0,49.3,90.7,5,Rassemblement National,67.0,36.0,11,Renaissance,24.0,12.9,50,Résistons,17.0,9.1,5.4,12.9,7.5,2.7,8.1,6.5,
16,Charente,16008,Ambérac,42.7,126.0,51.2,89.4,5,Rassemblement National,48.0,38.1,11,Renaissance,21.0,16.7,27,Parti socialiste - Place Publique,15.0,11.9,4.8,16.7,7.1,0.0,7.1,11.9,
16,Charente,16009,Ambernac,43.6,161.0,53.1,94.2,5,Rassemblement National,67.0,41.6,11,Renaissance,28.0,17.4,27,Parti socialiste - Place Publique,13.0,8.1,1.9,17.4,5.0,3.1,5.0,8.1,
16,Charente,16011,Anais,44.0,218.0,53.3,95.2,5,Rassemblement National,87.0,39.9,11,Renaissance,30.0,13.8,27,Parti socialiste - Place Publique,19.0,8.7,5.0,13.8,6.9,6.9,4.1,8.7,
16,Charente,16012,Angeac-Champagne,52.7,191.0,44.5,94.1,5,Rassemblement National,87.0,45.5,11,Renaissance,30.0,15.7,18,Les Républicains,21.0,11.0,4.7,15.7,11.0,0.5,1.6,11.0,
16,Charente,16013,Angeac-Charente,45.5,144.0,52.0,95.4,5,Rassemblement National,45.0,31.2,11,Renaissance,29.0,20.1,18,Les Républicains,15.0,10.4,2.8,20.1,10.4,2.1,4.2,8.3,
16,Charente,16014,Angeduc,40.2,66.0,58.9,98.5,5,Rassemblement National,38.0,57.6,27,Parti socialiste - Place Publique,10.0,15.2,11,Renaissance,4.0,6.1,3.0,6.1,3.0,4.5,0.0,15.2,
16,Charente,16015,Angoulême,50.5,12496.0,48.2,97.5,5,Rassemblement National,2443.0,19.6,27,Parti socialiste - Place Publique,2412.0,19.3,4,La France insoumise,2129.0,17.0,4.5,13.7,6.3,8.5,17.0,19.3,
16,Charente,16016,Ansac-sur-Vienne,38.6,368.0,55.7,90.6,5,Rassemblement National,144.0,39.1,11,Renaissance,51.0,13.9,27,Parti socialiste - Place Publique,49.0,13.3,2.7,13.9,4.3,3.0,6.2,13.3,
16,Charente,16018,Ars,43.7,303.0,53.6,95.3,5,Rassemblement National,129.0,42.6,11,Renaissance,54.0,17.8,27,Parti socialiste - Place Publique,23.0,7.6,4.6,17.8,7.3,1.3,0.3,7.6,
16,Charente,16019,Asnières-sur-Nouère,46.6,538.0,51.5,96.4,5,Rassemblement National,203.0,37.7,11,Renaissance,98.0,18.2,27,Parti socialiste - Place Publique,81.0,15.1,5.6,18.2,3.7,3.5,3.5,15.1,
16,Charente,16020,Aubeterre-sur-Dronne,32.7,99.0,64.7,96.1,5,Rassemblement National,26.0,26.3,27,Parti socialiste - Place Publique,24.0,24.2,11,Renaissance,19.0,19.2,0.0,19.2,8.1,7.1,9.1,24.2,
16,Charente,16023,Aunac-sur-Charente,43.8,263.0,53.3,94.9,5,Rassemblement National,102.0,38.8,11,Renaissance,36.0,13.7,27,Parti socialiste - Place Publique,36.0,13.7,1.1,13.7,9.1,4.6,6.1,13.7,
16,Charente,16024,Aussac-Vadalle,40.3,228.0,58.5,97.9,5,Rassemblement National,101.0,44.3,27,Parti socialiste - Place Publique,26.0,11.4,11,Renaissance,23.0,10.1,2.6,10.1,7.5,2.6,4.8,11.4,
16,Charente,16025,Baignes-Sainte-Radegonde,49.3,453.0,47.8,94.4,5,Rassemblement National,163.0,36.0,11,Renaissance,86.0,19.0,27,Parti socialiste - Place Publique,44.0,9.7,7.9,19.0,4.6,4.2,5.3,9.7,
16,Charente,16026,Balzac,35.4,639.0,61.9,95.8,5,Rassemblement National,193.0,30.2,11,Renaissance,118.0,18.5,27,Parti socialiste - Place Publique,116.0,18.2,5.0,18.5,7.5,5.6,2.7,18.2,
16,Charente,16027,Barbezières,34.2,62.0,55.9,84.9,5,Rassemblement National,24.0,38.7,27,Parti socialiste - Place Publique,11.0,17.7,3,Reconquête et CNIP,5.0,8.1,8.1,8.1,3.2,1.6,1.6,17.7,
16,Charente,16028,Barbezieux-Saint-Hilaire,49.8,1614.0,47.9,95.5,5,Rassemblement National,553.0,34.3,11,Renaissance,302.0,18.7,27,Parti socialiste - Place Publique,218.0,13.5,4.3,18.7,6.8,3.6,7.2,13.5,
